authorDisplayName;likeCount;Text;publishedAt;cleaned_text;sentiment_category;word_count
;0;@BattlerUshiro67 @azharieazharou Pertama: Alaska ternyata hilal tidak terlihat. Lalu landasan KHGT berpijak pada hilal di mana? Kedua: Saudi dicemooh banyak warga internasional krn disinyalir berbohong ttg melihat hilal. Pakar Muhammadiyah pun tau kalau di Saudi tdk mungkin terlihat hilal makanya pakai Alaska;Thu Feb 19 06:58:32 +0000 2026;Pertama  Alaska ternyata hilal tidak terlihat  Lalu landasan KHGT berpijak pada hilal di mana  Kedua  Saudi dicemooh banyak warga internasional krn disinyalir berbohong ttg melihat hilal  Pakar Muhammadiyah pun tau kalau di Saudi tdk mungkin terlihat hilal makanya pakai Alaska;negative;40
;1;@moderazi pembulatan itu pasti 30 hari sesuai hadits justru pembulatan (ke belakang oleh KHGT) jadi 29 hari yang tidak ada haditsnya https://t.co/dTKbdoHl24;Thu Feb 19 07:14:05 +0000 2026;pembulatan itu pasti 30 hari sesuai hadits justru pembulatan  ke belakang oleh KHGT  jadi 29 hari yang tidak ada haditsnya;negative;20
;0;@sayyid_sukardi @ainunnajib Hahaha ada2 aja yg pake khgt cm Muhammadiyah doang trus negara lain suruh mengikuti? Menurut sy ini eksperimen yg kebablasan;Thu Feb 19 06:54:44 +0000 2026;Hahaha ada2 aja yg pake khgt cm Muhammadiyah doang trus negara lain suruh mengikuti  Menurut sy ini eksperimen yg kebablasan;negative;20
;0;@ainunnajib Gus coba AI nya di kasih tugas yg lebih menantang berapa derjat ketinggian hilal dan elongasi nya sedemikian shg hasil KHGT 100% sama dg Ummul Quro. Barangkali KHGT nanti tertarik buat adopsi.;Thu Feb 19 06:31:58 +0000 2026;Gus coba AI nya di kasih tugas yg lebih menantang berapa derjat ketinggian hilal dan elongasi nya sedemikian shg hasil KHGT 100  sama dg Ummul Quro  Barangkali KHGT nanti tertarik buat adopsi;negative;32
;1;Bukti bahwa diskusi KHGT sudah ada dari lama. Buku imi terbit tahun 2014. https://t.co/gfIriVL9sE;Thu Feb 19 06:29:57 +0000 2026;Bukti bahwa diskusi KHGT sudah ada dari lama  Buku imi terbit tahun 2014;negative;13
;1;argumen susulannya sebenarnya kalau memang visi-misi Muhammadiyah dengan KHGT itu untuk menyatukan dunia dalam satu tanggal kenapa nggak rumus hisab Umm al-Qura aja: wujudul hilal 0⁰ di Makkah kenapa musti bikin rumus sendiri baru yang bahkan ternyata beda dengan KHGT Turki;Thu Feb 19 06:24:52 +0000 2026;argumen susulannya sebenarnya kalau memang visi misi Muhammadiyah dengan KHGT itu untuk menyatukan dunia dalam satu tanggal kenapa nggak rumus hisab Umm al Qura aja  wujudul hilal 0  di Makkah kenapa musti bikin rumus sendiri baru yang bahkan ternyata beda dengan KHGT Turki;negative;43
;0;@yovieferia @hhsahal @ainunnajib Thn lalu msh pakai hisab lokal walaupun misal ada perbedaan ya bs dimaklumi. Nah skrg mulai puasa ketika blm masuk bln baru diMANAPUN di seluruh belahan bumi (msh 30 syaban) meskipun pakai perhitungan khgt? Puasanya sah?;Thu Feb 19 06:23:41 +0000 2026;Thn lalu msh pakai hisab lokal walaupun misal ada perbedaan ya bs dimaklumi  Nah skrg mulai puasa ketika blm masuk bln baru diMANAPUN di seluruh belahan bumi  msh 30 syaban  meskipun pakai perhitungan khgt  Puasanya sah;positive;36
;0;"Curiosity saya berikutnya: apakah rumus Umm al-Qura Saudi bakalan berbeda dengan rumus KHGT Muhammadiyah? dua-duanya bisa dihitung akurat sampai ribuan tahun ke depan kalau rukyat Saudi cuma akal-akalan untuk justifikasi hisav Umm al-Qura akankah &amp; kapankah KHGT nanti beda? https://t.co/VlR0Z6xrTl";Thu Feb 19 06:18:54 +0000 2026;Curiosity saya berikutnya  apakah rumus Umm al Qura Saudi bakalan berbeda dengan rumus KHGT Muhammadiyah  dua duanya bisa dihitung akurat sampai ribuan tahun ke depan kalau rukyat Saudi cuma akal akalan untuk justifikasi hisav Umm al Qura akankah  amp  kapankah KHGT nanti beda;negative;43
;0;@KabarMuh_ID Pertama: Alaska ternyata hilal tidak terlihat. Lalu landasan KHGT berpijak pada hilal di mana? Kedua: Saudi dicemooh banyak warga internasional krn disinyalir berbohong ttg melihat hilal. Pakar Muhammadiyah pun tau kalau di Saudi tdk mungkin terlihat hilal makanya pakai Alaska;Thu Feb 19 06:16:27 +0000 2026;Pertama  Alaska ternyata hilal tidak terlihat  Lalu landasan KHGT berpijak pada hilal di mana  Kedua  Saudi dicemooh banyak warga internasional krn disinyalir berbohong ttg melihat hilal  Pakar Muhammadiyah pun tau kalau di Saudi tdk mungkin terlihat hilal makanya pakai Alaska;negative;40
;0;@black_swan6999 @ainunnajib @DokterTifa KHGT bisa jadi acuan kalender global jika ia tetap terikat pada fenomena alam melalui koreksi drift. Tapi KHGT tidak sah secara ilmiah-fenomenologis bila menetapkan bulan baru saat hilal belum eksis di seluruh Bumi. Contoh : Penetapan 1 Ramadhan tahun ini.;Thu Feb 19 06:10:41 +0000 2026;KHGT bisa jadi acuan kalender global jika ia tetap terikat pada fenomena alam melalui koreksi drift  Tapi KHGT tidak sah secara ilmiah fenomenologis bila menetapkan bulan baru saat hilal belum eksis di seluruh Bumi  Contoh   Penetapan 1 Ramadhan tahun ini;negative;40
;0;@azharieazharou dan KHGT Muhammadiyah unfortunately adalah salah satunya;Thu Feb 19 06:08:12 +0000 2026;dan KHGT Muhammadiyah unfortunately adalah salah satunya;negative;7
;0;KHGT (Kalender Hijriah Global Terpadu): solusi modern untuk menyatukan perbedaan awal Ramadhan dan Idul Fitri di seluruh dunia melalui sains astronomi. #KHGT #KalenderHijriahGlobal #Ramadhan2026 #AstronomiIslam https://t.co/S8806ZVByO;Thu Feb 19 06:04:32 +0000 2026;KHGT  Kalender Hijriah Global Terpadu   solusi modern untuk menyatukan perbedaan awal Ramadhan dan Idul Fitri di seluruh dunia melalui sains astronomi   KHGT  KalenderHijriahGlobal  Ramadhan2026  AstronomiIslam;positive;25
;0;@aika_edutoys @ainunnajib @KabarMuh_ID Bayangkan tgl 18 kmrn saat anda MULAI berpuasa saat itu msh tgl 30 syaban krn diMANAPUN di seluruh dbelahan bumi hilal blm masuk bln baru (baik secara hitungan khgt apalagi rukyat). Menurutmu sah kah puasamu itu?;Thu Feb 19 06:03:28 +0000 2026;Bayangkan tgl 18 kmrn saat anda MULAI berpuasa saat itu msh tgl 30 syaban krn diMANAPUN di seluruh dbelahan bumi hilal blm masuk bln baru  baik secara hitungan khgt apalagi rukyat   Menurutmu sah kah puasamu itu;negative;36
;0;@el_fakunzain @PNS_Garis_Lucu @ainunnajib saya rasa kalo diskusi setelan awalnya adalah mau menerima argumen lawan diskusi Muhammadiyah sudah menjelaskan alasan kenapa KHGT dan dasar hukum KHGT tapi beliau masih muter2 aja pendapatnya itu-itu saja terkesan tidak mau kalah;Thu Feb 19 05:48:21 +0000 2026;saya rasa kalo diskusi setelan awalnya adalah mau menerima argumen lawan diskusi Muhammadiyah sudah menjelaskan alasan kenapa KHGT dan dasar hukum KHGT tapi beliau masih muter2 aja pendapatnya itu itu saja terkesan tidak mau kalah;negative;35
;0;@al_wakandy @ikhwanuddin @pandji Untuk KHGT tahun ini masalahnya begini: 'woi besok hilal akan kelihatan di Alaska ayo sekarang kita di Indonesia puasa' alias ditarik mundur katanya ai noon;Thu Feb 19 05:43:54 +0000 2026;Untuk KHGT tahun ini masalahnya begini   woi besok hilal akan kelihatan di Alaska ayo sekarang kita di Indonesia puasa  alias ditarik mundur katanya ai noon;negative;25
;1;"Here We Go rekap ucapan selamat 1 Ramadhan 1447 H oleh Medkom PP Muhammadiyah: 1) Hadir dengan tagline #SiapLebihAwal menandakan kemantapan pilihan melalui KHGT; 2) Tampak seorang fans MU mengibarkan syal; 3) Jersey Barca dan Madrid yang dijemur diatas salah satu rumah;";Thu Feb 19 05:42:11 +0000 2026;Here We Go rekap ucapan selamat 1 Ramadhan 1447 H oleh Medkom PP Muhammadiyah  1  Hadir dengan tagline  SiapLebihAwal menandakan kemantapan pilihan melalui KHGT  2  Tampak seorang fans MU mengibarkan syal  3  Jersey Barca dan Madrid yang dijemur diatas salah satu rumah;neutral;42
;0;@AleamsBarra Iya bro justru pendapat Prof. Tono lebih ekstrim gak perlu sudut ketinggian 5⁰ elongasi 8⁰ yang penting intimak terjadi sebelum Fajar itu sudah muncul bulan baru. Besoknya tgl baru Tp KHGT mengakomdasi masukan dari negara2 lain sehingga muncul angka itu.;Thu Feb 19 05:36:16 +0000 2026;Iya bro justru pendapat Prof  Tono lebih ekstrim gak perlu sudut ketinggian 5  elongasi 8  yang penting intimak terjadi sebelum Fajar itu sudah muncul bulan baru  Besoknya tgl baru Tp KHGT mengakomdasi masukan dari negara2 lain sehingga muncul angka itu;negative;40
;0;@membacamulagi @AleamsBarra Metode Hisab MU sekarang (KHGT) berbeda dr sebelumnya. Padahal yg sebelumnya juga ok2 aja meski ada perbedaan. Nah yg d kritik itu yg baru ini;Thu Feb 19 04:54:57 +0000 2026;Metode Hisab MU sekarang  KHGT  berbeda dr sebelumnya  Padahal yg sebelumnya juga ok2 aja meski ada perbedaan  Nah yg d kritik itu yg baru ini;negative;25
;0;@NUCreativeMedia @ainunnajib Hadeh. Ini pendukung KHGT kok pada goblok2 ya?;Thu Feb 19 04:52:17 +0000 2026;Hadeh  Ini pendukung KHGT kok pada goblok2 ya;negative;8
;0;@kyoukai691 @SarjanaEksu Sampai kan ke pengurus pusat Muhammadiyah disertai bukti ilmiah niat Muhammadiyah membuat khgt bagus agar semua umat Islam bisa merayakan hari raya di hari yg sama (tentu tidak ada paksaan untuk ikut) seperti umat agama lain yg menggunakan kalender Masehi sebagai acuan;Thu Feb 19 04:51:40 +0000 2026;Sampai kan ke pengurus pusat Muhammadiyah disertai bukti ilmiah niat Muhammadiyah membuat khgt bagus agar semua umat Islam bisa merayakan hari raya di hari yg sama  tentu tidak ada paksaan untuk ikut  seperti umat agama lain yg menggunakan kalender Masehi sebagai acuan;positive;42
;0;@ekopras96808127 @SarjanaEksu Its not as simple as that tapi terkait dgn khgt ini ga sesuai dgn syariat dan juga sains..;Thu Feb 19 04:20:32 +0000 2026;Its not as simple as that tapi terkait dgn khgt ini ga sesuai dgn syariat dan juga sains;negative;18
;3;@_bsutanto Sip. Berarti harus jujur di KHGT nya. Gak usah bilang pakai (2) sama sekali. Bilang dengan Pede bahwa KHGT pakai wujudul hilal global dengan trigger ijtimak sebelum waktu subuh di New Zealand. Yang versi sekarang ini ke wilayah barat dikasih versi rukyat sedangkan buat MU;Thu Feb 19 04:20:29 +0000 2026;Sip  Berarti harus jujur di KHGT nya  Gak usah bilang pakai  2  sama sekali  Bilang dengan Pede bahwa KHGT pakai wujudul hilal global dengan trigger ijtimak sebelum waktu subuh di New Zealand  Yang versi sekarang ini ke wilayah barat dikasih versi rukyat sedangkan buat MU;negative;45
;0;@sasttr0 @Dospemz As I said many times ini bukan kejadian yg sudah2 perbedaan ini terjadi karena MD pake khgt tahun ini yg titik acuan nya alaska bkn Indonesia.. Klo dulu2 mereka ngitung wujudul hilal di Indonesia.. https://t.co/uqhWRPY0E5;Thu Feb 19 04:19:02 +0000 2026;As I said many times ini bukan kejadian yg sudah2 perbedaan ini terjadi karena MD pake khgt tahun ini yg titik acuan nya alaska bkn Indonesia   Klo dulu2 mereka ngitung wujudul hilal di Indonesia;negative;34
;0;4/ Analogi Shalat Jumat global juga keliru. Muslim di London tidak Shalat Jumat ikut waktu Jakarta. Semua menunggu matahari tergelincir di lokasinya masing-masing. KHGT justru meminta kita sholat tanpa menunggu matahari (hilal) muncul.;Thu Feb 19 03:57:11 +0000 2026;4  Analogi Shalat Jumat global juga keliru  Muslim di London tidak Shalat Jumat ikut waktu Jakarta  Semua menunggu matahari tergelincir di lokasinya masing masing  KHGT justru meminta kita sholat tanpa menunggu matahari  hilal  muncul;negative;34
;0;"Paradoks KHGT &amp; Kausalitas Ibadah 1/ KHGT (Kalender Hijriah Global Tunggal) punya masalah serius dalam logika kausalitas ibadah. Bagaimana mungkin kita mulai berpuasa (Akibat) sebelum fenomena Hilal (Sebab) itu sendiri terjadi di bumi? Ini menabrak urutan alamiah dan syar'i.";Thu Feb 19 03:57:08 +0000 2026;Paradoks KHGT  amp  Kausalitas Ibadah 1  KHGT  Kalender Hijriah Global Tunggal  punya masalah serius dalam logika kausalitas ibadah  Bagaimana mungkin kita mulai berpuasa  Akibat  sebelum fenomena Hilal  Sebab  itu sendiri terjadi di bumi  Ini menabrak urutan alamiah dan syar i;negative;40
;0;@VIVAcoid Eoooiiiiiiiiii ilmu pengetahuan sudah sangat maju gerhana matahari/bulan saja sudah di tau kapan akan terjadi bahkan kejadian yang ribuan tahun lalu bisa di tau.. sok2an mengoreksi KHGT .. sorry yeeee .. Kita ternyata masih pake teropong utk keker itu hilal;Thu Feb 19 03:54:41 +0000 2026;Eoooiiiiiiiiii ilmu pengetahuan sudah sangat maju gerhana matahari bulan saja sudah di tau kapan akan terjadi bahkan kejadian yang ribuan tahun lalu bisa di tau   sok2an mengoreksi KHGT    sorry yeeee    Kita ternyata masih pake teropong utk keker itu hilal;negative;39
;12;@zicostian karena dari perspektif mayoritas umat Islam Indonesia misalnya NU dan Persis rumus KHGT ini menyalahi Syari at sementara Muhammadiyah terbukti bisa mengganti rumus dengan rapat alangkah eloknya kalau mengganti rumus dengan IR MABIMS yang tetap bisa hisab dan satu sesuai rukyat;Thu Feb 19 03:51:02 +0000 2026;karena dari perspektif mayoritas umat Islam Indonesia misalnya NU dan Persis rumus KHGT ini menyalahi Syari at sementara Muhammadiyah terbukti bisa mengganti rumus dengan rapat alangkah eloknya kalau mengganti rumus dengan IR MABIMS yang tetap bisa hisab dan satu sesuai rukyat;negative;41
;0;@asupulah @ainunnajib @na_dirs @muhammadiyah Dimana dijual kalender KHGT..? Biar ada pedoman utk ibadah2 sunnah dimasa2 mendatang;Thu Feb 19 03:48:17 +0000 2026;Dimana dijual kalender KHGT    Biar ada pedoman utk ibadah2 sunnah dimasa2 mendatang;neutral;12
;0;@jarotkharisman @VIVAcoid @brin_indonesia @Kemenag_RI ah tidak juga saya ada beberapa teman muhammadiyah yang tahun ini mereka lebih memilih mengikuti hasil sidang isbat pemerintah padahal biasanya selalu mengikuti muhammadiyah. karena menurutnya penggunaan khgt masih belum sempurna dan menimbulkan keraguan.;Thu Feb 19 03:20:07 +0000 2026;ah tidak juga saya ada beberapa teman muhammadiyah yang tahun ini mereka lebih memilih mengikuti hasil sidang isbat pemerintah padahal biasanya selalu mengikuti muhammadiyah  karena menurutnya penggunaan khgt masih belum sempurna dan menimbulkan keraguan;negative;34
;0;@ainunnajib Sya ngerti maksud @ainunnajib ini tp menilai 2 metode yg berbeda lewat 1 metode itu ga bakalan ketemu. Kemaren klo ga salah ditulis di alaska tidak memenuhi imkanu rukyat loh ini fatal sekali. Masa KHGT melakukan sefatal ini. Ternyata di alaska hanya tidak melihat hilal.;Thu Feb 19 03:07:24 +0000 2026;Sya ngerti maksud  ini tp menilai 2 metode yg berbeda lewat 1 metode itu ga bakalan ketemu  Kemaren klo ga salah ditulis di alaska tidak memenuhi imkanu rukyat loh ini fatal sekali  Masa KHGT melakukan sefatal ini  Ternyata di alaska hanya tidak melihat hilal;negative;44
;0;@ainunnajib Setelah liat baca KHGT ternyata keduanya sama2 ilmiah. Sya puasa hari kamis mengikuti pengamatan lokal tp KHGT juga bisa diterima sebagai salah satu ikhtiar dlm menentukan awal bulan. Krn klo baca keterangan @ainunnajib sejak kemaren seolah2 orang yg pakai KHGT bocah ga tau apa2;Thu Feb 19 03:03:17 +0000 2026;Setelah liat baca KHGT ternyata keduanya sama2 ilmiah  Sya puasa hari kamis mengikuti pengamatan lokal tp KHGT juga bisa diterima sebagai salah satu ikhtiar dlm menentukan awal bulan  Krn klo baca keterangan  sejak kemaren seolah2 orang yg pakai KHGT bocah ga tau apa2;negative;43
;0;@AleamsBarra Kan dengan KHGT gak perlu nungguin sampai benar terlihat cukup dengan dzon berdasarkan ilmu hisab.;Thu Feb 19 02:50:00 +0000 2026;Kan dengan KHGT gak perlu nungguin sampai benar terlihat cukup dengan dzon berdasarkan ilmu hisab;negative;15
;2;@ainunnajib @KabarMuh_ID GB menegaskan: hisab dan rukyat tidak perlu dipertentangkan. Anggapan hisab itu MD rukyat itu NU adalah penyederhanaan yg keliru. Hisab ada beragam metode sebagian mengandung ikhtilaf seperti KHGT. Rukyat pun ttp menggunakan hisab agar tahu posisi hilal sebelum observasi.;Thu Feb 19 02:04:13 +0000 2026;GB menegaskan  hisab dan rukyat tidak perlu dipertentangkan  Anggapan hisab itu MD rukyat itu NU adalah penyederhanaan yg keliru  Hisab ada beragam metode sebagian mengandung ikhtilaf seperti KHGT  Rukyat pun ttp menggunakan hisab agar tahu posisi hilal sebelum observasi;negative;39
;1;@hasyimmah @ainunnajib Bahasanya luar biasa sekali KHGT MEMAKSIMALKAN PERBEDAAN benci kali enten nunn nunn;Thu Feb 19 01:38:59 +0000 2026;Bahasanya luar biasa sekali KHGT MEMAKSIMALKAN PERBEDAAN benci kali enten nunn nunn;negative;12
;0;@ainunnajib Wakil MUI NU dan Muhammadiyah ikut hadir pada agenda ini. Menurut anda ini tidak penting? Muhammadiyah memandang ini penting maka meninggalkan WH lalu migrasi ke KHGT dengan waktu sosialisasi dan pematangan cukup lama hingga dilaunching harusnya anda itu ramai sejak awal. https://t.co/2KAuhoprCp;Thu Feb 19 01:27:46 +0000 2026;Wakil MUI NU dan Muhammadiyah ikut hadir pada agenda ini  Menurut anda ini tidak penting  Muhammadiyah memandang ini penting maka meninggalkan WH lalu migrasi ke KHGT dengan waktu sosialisasi dan pematangan cukup lama hingga dilaunching harusnya anda itu ramai sejak awal;neutral;41
;0;@ndeso_ganteng @KabarMuh_ID Ya sudah kalau anda kurang sreg dgn KHGT MU ga usah di ikuti.toh MU ga memaksa anda puasa tgl 18.ribuan warga MU tetap enjoy melaksanakan puasa tgl 18.perbedaan jgn di jadikan perpercahan.sejak pak Harto lenggser perbedaan penentuan awal Ramadhan/Idul Fitri SDH mulai beda;Thu Feb 19 01:25:21 +0000 2026;Ya sudah kalau anda kurang sreg dgn KHGT MU ga usah di ikuti toh MU ga memaksa anda puasa tgl 18 ribuan warga MU tetap enjoy melaksanakan puasa tgl 18 perbedaan jgn di jadikan perpercahan sejak pak Harto lenggser perbedaan penentuan awal Ramadhan Idul Fitri SDH mulai beda;negative;48
;0;@ainunnajib Ikut Muhammadiyah dengan KHGT nya.. lebih mempersatukan umat Islam se dunia. Bismillah;Thu Feb 19 01:26:35 +0000 2026;Ikut Muhammadiyah dengan KHGT nya   lebih mempersatukan umat Islam se dunia  Bismillah;positive;12
;0;Tak usah dijelaskan lagi min percuma tinggal balik saja pertanyaan mereka jika di wilayah Indonesia hilal hanya terlihat di satu wilayah saja apa wilayah lain tidak puasa? Jawabannya pasti tidak lalu kenapa KHGT dipermasalahkan ;Thu Feb 19 01:26:49 +0000 2026;Tak usah dijelaskan lagi min percuma tinggal balik saja pertanyaan mereka jika di wilayah Indonesia hilal hanya terlihat di satu wilayah saja apa wilayah lain tidak puasa  Jawabannya pasti tidak lalu kenapa KHGT dipermasalahkan;negative;34
;0;@ainunnajib @VIVAcoid KHGT melangkah maju melampaui sekat2 otoritas di masing2 wilayah dibelahan dunia...dari lokal ke global..salut saja sihh dg Ijtihadnya muhammadiyah;Thu Feb 19 01:21:31 +0000 2026;KHGT melangkah maju melampaui sekat2 otoritas di masing2 wilayah dibelahan dunia   dari lokal ke global  salut saja sihh dg Ijtihadnya muhammadiyah;positive;21
;0;@eqrzq @sainzeternity @AIADigibuy @jogja_base Jadi MD berubah dari hisab lokal ke global itu pertama kedua Turkiye sendiri tidak memasukkan Alaska dg alasan tidak berpenghuni dan bukan daratan Amerika. KHGT sendiri beda2 ;Thu Feb 19 01:07:22 +0000 2026;Jadi MD berubah dari hisab lokal ke global itu pertama kedua Turkiye sendiri tidak memasukkan Alaska dg alasan tidak berpenghuni dan bukan daratan Amerika  KHGT sendiri beda2;negative;27
;0;@AzmulAkhsan @midrismesut @muhammadiyah kan sudah dijelaskan di banyak rilis muhammadiyah apa tujuan KHGT ketawan banget gak mau baca;Thu Feb 19 00:57:38 +0000 2026;kan sudah dijelaskan di banyak rilis muhammadiyah apa tujuan KHGT ketawan banget gak mau baca;negative;15
;0;@ainunnajib Tenang aja koko najib ntar kiamatnya diprediksi ama KHGT;Thu Feb 19 00:52:22 +0000 2026;Tenang aja koko najib ntar kiamatnya diprediksi ama KHGT;negative;9
;0;@asupulah @ainunnajib @na_dirs @muhammadiyah Alhamdulillaah dgn KHGT NU SALAFI persis dll bersatu jadi nanti kalo salafi ngadain pengajian di jamin aman;Thu Feb 19 00:52:00 +0000 2026;Alhamdulillaah dgn KHGT NU SALAFI persis dll bersatu jadi nanti kalo salafi ngadain pengajian di jamin aman;positive;17
;0;Cek disini https://t.co/3dzFUpSQGH Imsak Cilor Kamis Ramadhan khgt oknum lalai kuhp baru https://t.co/KzUqxeIKAz;Wed Feb 18 20:36:58 +0000 2026;Cek disini  Imsak Cilor Kamis Ramadhan khgt oknum lalai kuhp baru;negative;11
;1;@AleamsBarra Yup visi mereka ingin menyamakan sesuai dengan latar belakang dan tujuan mereka membuat KHGT. Saya cuman coba memahami kenapa mereka memilih 18 daripada 19 feb sesuai tweet di atas.;Wed Feb 18 20:22:09 +0000 2026;Yup visi mereka ingin menyamakan sesuai dengan latar belakang dan tujuan mereka membuat KHGT  Saya cuman coba memahami kenapa mereka memilih 18 daripada 19 feb sesuai tweet di atas;negative;29
;0;@PuteraSaljuX @DaniauliaL @scalpeltomorrow @VIVAcoid Berdasarkan penelusuran perbedaan awal Ramadan antara KHGT (Muhammadiyah) dan rukyat biasanya maksimal 1 hari karena perbedaan kriteria visibilitas hilal global vs lokal. Selisih 2 hari sangat jarang terjadi hanya mungkin di kondisi ekstrem seperti kesalahan garis tanggal;Wed Feb 18 19:51:46 +0000 2026;Berdasarkan penelusuran perbedaan awal Ramadan antara KHGT  Muhammadiyah  dan rukyat biasanya maksimal 1 hari karena perbedaan kriteria visibilitas hilal global vs lokal  Selisih 2 hari sangat jarang terjadi hanya mungkin di kondisi ekstrem seperti kesalahan garis tanggal;neutral;37
