full_text,sentiment
Orang ini blak2an tidak mau mengibar kan Bendera Merah Putih Walau di tembak sekali pun. Karena belum di rasakan kemerdekaan dan keadilan di Negri ini.. karena Rezim ini begiti Bobrok memeras Rakyat #TangkapGibranOnePiece #TangkapGibranOnePiece https://t.co/qTQZvrxpn6,Positif
@tanyakanrl Saya aja engga pasang bendera kak kayak bener bener sakit hati sama pemerintah kek mereka udah melanggar HAM gitu tp masih ga sadar sama perbuatan mereka,Positif
@WatchmenID Kalo bendera ini boleh? https://t.co/cm73kHkCwK,Netral
@txtdrimedia Gk ada yg larang silahkan kibarkan bendera kntol sesukamu tp posisinya bgini bukan dibalik. Smua org jg muak dg pemrntah yg udh kyk kntol mnusia biadap smua. Tp pkai otak klian klu mau olok2 bendera Merah Putih. https://t.co/eULp3m2QkX,Positif
Kalo bendera one piece dilarang bendera ini boleh gak? https://t.co/u3GTkOPCTA,Netral
@tanyakanrl Ya masa kita beli bendera tiap ulang tahun anjir ya pake selagi masih bisa pake,Netral
@ARSIPAJA Negara besar takut sama bendera one piece,Positif
AYO SERENTAK KIBARKAN BENDERA MERAH PUTIH.🇲🇨 . Bersatu Berdaulat Rakyat Sejahtera Indonesia Maju. @DivHumas_Polri @humaspolsulteng #kapolresdonggala #akbpanggadewantobasari #ayoserentakkibarkanbenderamerahputih https://t.co/kNnW1hNkcO,Negatif
Ayo kibarkan Bendera Merah Putih! Rayakan 80 tahun kemerdekaan dengan semangat persatuan! #KibarkanMerahPutih #Merdeka80 https://t.co/OnFdBW4V19,Netral
beli bendera one piece dimana?,Netral
Negara Korsel khawatir dg Rudal Korut Negara Taiwan Khawatir d Tentara Merah RRT Kuba khawatir dg paham Liberal &amp; Kapitalis US Nah pak @prabowo beserta jajarannya takut sama Bendera Fiksi One Piece? Sumpah ini kocak @cnni @kemgelapan @narkosun @Not,Positif
Dilarang mengibarkan bendera one piece karena dianggap mengancam persatuan. Apa bedanya dengan bendera partai? Katanya kita bangsa yg besar tapi sama bendera fiksi dianggap ancaman yg mengganggu stabilitas negara.,Positif
rakyat sedang berikan peringatan tentang sytem pemerintah dengan simbol bendera one piece negara memberikan peringatan ke rakyat yang mengibarkan bendera one piece.,Netral
daerah ku belum ada yang pasang bendera,Netral
@Aceh cuma orang gila d jawa yg ngelarang pengibaran bendera anime sedangkan bendera partai dan ormas dipasang sejajar dgn merah putih.mereka lbh takut sama anime drpd preman,Positif
perkara bendera anime aja mau di pidana,Positif
@achehsultanate Aneh kok takut sm bendera yg ada di anime??? Cerita fiksi doang padahal,Positif
@EruharuChan @sedaryut73015 @tumolanang @achehsultanate Sebagai AI saya analisis gambar dengan model penglihatan yang bisa tingkatkan kontras &amp; kenali pola teks buram. Teksnya mirip POLISI ANTI ANARKI (unit nyata Brimob) tapi diedit jadi ANTI ANIME untuk meme seputar bendera One Piece. Hoax coy!,Positif
@Kimberley_PS08 Lebih byk yg pesan merah putih jk ms ada diantara mrk yg pasang bendera selain merah putih di saat hr proklamasi tetangga calon mertua mungkin blg ud gila ya itu org. jk Bpk kakek nenek y pejuang kemerdekaan bangsa mngkn nangis lht anak cucunya demikian di alam kubur y...,Positif
kenapa alergi sama Bendera One Piece bukan kah kalian jagonya desain keos *makin menggelikan repoeblik ini Salam kopi pahit #kopiPahit #kopiAbadi https://t.co/0A9ZXcXUub,Positif
Pedagang Takut dan Bingung Anak Muda Cari Bendera One Piece https://t.co/e7emIMhJW9,Positif
@tanyakanrl Udh 3tahun ga ngibarin bendera depan rumah. Soalnya benderanya jg lupa disimpen dimana. Atau malah ketinggalan dirumah lama soalnya dicari jg ga ketemu. Tapi gak beli juga ahh ,Positif
@ARSIPAJA Bayangin rapat berhari-hari untuk membahas bendera one piece: maraton anime manga SBS dan diskusi,Positif
@txtdrimedia IQ tolol macam apa kalian ini.? Mnusia rendahan yg mau kibarkan bendera putih dibwh bendera lain. https://t.co/PtGkw0i8mv,Positif
@BenksWinarso Wooi.. yg prohokasi itu pemerintah dgn segala tindakan korupsinya dan tidak ada keadilan buat rakyatnya...klo pemerintah bs adil dan juga tegas sm koruptor...ya gk bkl ada bendera one piece...mikir pake otak bozz..jgn pake dengkul kopong...,Positif
@txtdrimedia Jual bendera ini aja bang https://t.co/EZlqbsccv5,Netral
@diggiesdaw Bendera one piece-nya mana kak,Netral
@tempodotco Seharusnya bukan hanya pemasangan bendera one piece tp juga penggunaan logo Jolly Roger adalah upaya memecah belah bangsa. Betulkan mas Wapres ? https://t.co/lyJtfcvwDV,Positif
bendera oyaji sm rocks sih https://t.co/pLYltXjmiJ,Negatif
Anjing-anjing nya Mulyono gencar kampanyekan bendera bajak laut ini...berkolaborasi dg yg ngaku oposisi tapi DONGOK... Mau2nya kalian diperalat Si Bajingan Tolol itu.... Jd udah terang benderang Si Bajingan Tolol Mulyono itu ngajak perang... Gercep ... Sikat Pak @prabowo!!!,Positif
@tanyakanrl Alasan sekolahku ga beli bendera baru adalah menjahit bendera buluk rupa dan sudah sobek di mana-mana ️ bener bener dijahit ditutup sobek sobekannya ya Allahhh segitu gaada duitnyaa sdku ini bjirrrrrrrrrrrrrrrrrrrrr,Positif
@flowithmeee g seberani itu gue...pasang bendera one piece aja deh haha,Negatif
@tanyakanrl Bukan cuma pedagang bendera pedagang yang lain juga pada sepi,Positif
sama bendera takut sama Tuhan berani,Positif
@txtdrimedia kalo bendera slank bisa ga bang,Netral
Kalo berani tindak dong bendera-bendera ini gak berani ya ? Oh iya lupa kalian kan kebanyakan pada koalisi sama para bendera warna warni yang ada difoto ini kan ya wkwkwkwk https://t.co/G9CfupxwO5,Positif
@Rhy21__ di negara mereka aja hampir tiap bulan ada pawai keliling sambil bawa bendera palestina kalo masih ga liat berarti picek,Positif
Bendera merah putih adalah simbol cinta tanah air dan penghormatan terhadap jasa para pahlawan yang telah berjuang melawan penjajah demi kemerdekaan Indonesia https://t.co/OA2322FP3X,Negatif
Ayo kibarkan bendera merah putih https://t.co/D4XEKmOPFB,Netral
@JemmyMultazam @txtdrimedia Giliran bendera wanpis berkibar ..bingung,Positif
Busyet. Pasal apa yang bisa digunakan buat menjerat pengibaran bendera bajak laut topi jeram?,Netral
@txtdrimedia Walah.. Rezim metasa terancam dgn bendera yg bahkan ga eksis di kehidupan nyata? Hell yeah kita masuk ke rezim diktator.. War biasa,Positif
@tanyarlfes Boleh benci tapi jangan goblok ini jelas AI ngapain polantas razia bendera sampe ke rumah rumah??,Positif
@alisyarief Tangkap kerahkan TNI dan polisi utk swiping ke segala penjuru dan tangkap siapa dalang dibalik pergerakan pengkhianatan terhadap bangsa Indonesia dan bendera merah putih,Positif
yaudah mungkin bendera gambar tengkorak memang bikin takut klo diganti gambar awan aja gimana? https://t.co/2eldpHHraG,Positif
@txtdrimedia Bendera kartun di permasalahin aneh banget pola pikirnya,Positif
@ARSIPAJA karena bendera one pieces,Negatif
@barengwarga Takut sama Bendera One Piece Lama lama gak Takut Sama Tuhan https://t.co/s1kdY5BgZA,Positif
@somexthread Yang sering bikin resah masyarakat tuh segerombolan orang pake bendera apa to? Kok gak ditindak juga yang bergerombol motoran sambil keroyok orang yg negur...,Positif
@susno2g @somexthread Fik berarti ngibarin bendera PERSIB juga bisa ditangkap,Netral
One Piece Is Real? Bahkan Pemerintah Takut Sama Nih Bendera #onepiece #hutri80 #mugiwara #LuffyxNami https://t.co/jKBTTnNVUz,Positif
Kalau ada pembahasan soal bendera ini di ilc nanti ada ab* jand* vs felix siauw lagi,Netral
Firman Soebagyo Nilai Bendera One Piece Jelang HUT RI Ke-80 Bentuk Provokasi: Tindak Tegas! https://t.co/4RsnyKoudD,Netral
@BudiBukanIntel ngibarin bendera ini aja sih (yang nonton superman pasti paham kemaren yang rakyat jarhanpur ngibarin bendera ini) https://t.co/XXcIxqg8jT,Positif
dulu negara ini takut sama tagar sekarang takut sama bendera kartun. itu di tubuh kalian koruptor banyak bener kaga ada takut takutnya bajilak,Positif
@temeninvest bendera nya ni,Netral
@Urrangawak Cm gara2 bendera fiksi ini...pemerintah pd ngomel..pdhl pengibaran bendera ini...akibat ulah mrk juga yg tidak memperlakukan rakyat dgn adil...mlh lbh pro ke koruptor... cm di negara ini koruptor di sanjung dan di elu2 khan spt dewa...,Positif
Kita negara besar setiap pidato bacot jangan takut sama asing giliran sma amerika ciutsekarang sma bendera anime woy anime busett negara besar dimananya ini besar utangnya kali.,Negatif
@txtdrimedia Secara akal sehat lebih penting benahi anggota nya @DivHumas_Polri dibanding urus rakyat ngibarin bendera one piece ngibarin ny jga di bawah bendera merah putih,Positif
@wahnyoto0630669 @somexthread Percuma bendera berkibar dengan gagah sementara rakyatnya ditindas dengan berbagai kebijakan yang menyengsarakan.,Positif
Babinsa Desa Landih Koramil 1626-01/Bangli menghadiri Rakor dan sosialisasi pemasangan bendera Merah Putih peringatan HUT ke 80 Kemerdekaan RI pengelolaan sampah berbasis sumber serta Kamtibmas di Ruang Pertemuan Kantor Desa Landih Kec/Kab. Bangli. #bersamarakyattnikuat https://t.co/NG2eRGXTiD,Netral
Liatin aja dikit lg ada berita penggerebekan pabrik pembuatan bendera one piece .,Netral
Dalam rangka mendukung program ketahanan pangan Koramil 02/Tambora mengembangkan budidaya ikan dan ayam petelur di wilayah binaan di Jalan Tiang Bendera III RT 007 RW 03 Kelurahan Roamalaka Kecamatan Tambora. Sabtu (2/8/2025) pagi. https://t.co/G4DOgG7FpV,Netral
@Irtus_Laso @lanangph @txtdrimedia ama bendera anime aja klabakan hahhahahha,Positif
takut kok sama bendera anime ,Positif
@none_nona2nd harganya skrng mahal bendera nya,Positif
Mana ada tulisan ban tangan gak jelas dan kibaran bendera sejelas itu ketika ambil dari kamera. AI kontol,Positif
@txtdrimedia ya drpd ngibarin bendera muka fufufafa,Netral
@ju_jukai udah terjual banyak bendera nya ni,Negatif
Negara besar takut sama bendera,Positif
Pemerintah Indonesia: Bendera bajak laut = MENGANCAM KEDAULATAN Kapal Tiongkok di perairan Indonesia = KAWAN NIH *CIUMAN*,Netral
@tanyarlfes masalahnya ga ada bendera merahputih yg lebih tinggi di tempatnya. ya iya lah ditangkap. sorry2 nih dia mah nakama karbitan. real nakama ga bakayaro,Positif
kek gk ada kerjaan yg lain anj bendera anime doang,Positif
Yaudah iya iya pasang bendera tapi setengah tiang,Positif
his gaze is definitely not a joke but i admit that i could laugh nervously because of it..... hahahaha kamu kira aku bisa survive...? mana kuat rek bendera putih udah di atas tangan ini https://t.co/Ob5axMKzeT,Negatif
@BudiBukanIntel Bendera Wanpis menggantikan bendera Slank,Netral
gw merinding liat truk ngibarin bendera luffy,Positif
Tidak ada larangan UU yg mengibarkan bendera one piece baik di fasilitas umum atau transportasi Negara lbh takut bendera daripada koruptor yg jls2 merugikan rakyat #TangkapGibranOnePiece #TangkapGibranOnePiece https://t.co/9BXbFxHrh3,Positif
@BarcaaInside Roony suruh bawa bendera shp biar gak ketinggalan fomo,Netral
Negara Beri Peringatan bagi Pengibar Bendera One Piece Pemerintah memberikan peringatan bagi masyarakat yang mengibarkan bendera One Piece dengan tidak sesuai aturan jelang 17 Agustus 2025. Baca selengkapnya di https://t.co/c85AmYVQV2 | #OnePiece #Negara #17Agustus https://t.co/a6PPpG18jN,Netral
@yanto_dengklang Ni bendera one piece udah terjual banyak harganya sekarang lumayan mahal ya https://t.co/kO0tB9rPXA,Positif
Problem bendera one piece ku pikir cuma ramai di bubble twitter sekarang di fb ramai WA pun pada buat SW. Kurir2 paket pada buat SW. Tinggal eksekusinya nanti gimana ramai nih di bawah.,Netral
@ruliemaulana kalo pake uu mgkn bisa iya bisa engga tapi ini cuma bendera anime.. a n i m e pengelolaan negara yg kocak disindir bendera ginian dibales dg ancaman.. luv~,Positif
@iniunamesayaya Wkwkwk terus skrg pejabatnya unik takut sama bendera anime hahahaa,Positif
Hari Minggu Pagii Kibarkan Bendera One Piece Jangan takut! Tidak ada UU yg melarang! Biar kasih paham ke pemerintah rakyat bersatu! Kami sudah muak dng segala tambahan kesulitan hdp di edisi pemerintahan ini! https://t.co/hqdqGMlr3f,Positif
@KompasTV Koruptor tangkep bodoh malahan bendera lo urus,Positif
Jual bendera xh aja bg,Netral
@wangihutan @yanto_dengklang @txtdrimedia Tidak foto dan video tersebut bukan hasil AI. Foto adalah tangkapan layar berita https://t.co/9vAjhQfcLS asli tentang pedagang bendera One Piece. Video menunjukkan insiden nyata polisi di Ponorogo menindak pengibaran bendera Jolly Roger dikonfirmasi oleh sumber berita terbaru.,Netral
@antaranews Setuju banget sih! Tangkepin dan klo perlu cabut hak mereka sbg warga negara bagi yg mengibarkan bendera selain bendera merah putih pas 17 Agustus!,Positif
Rezim ini suka paksa pajak payment id dan vaksin tolol Makanya rakyat indonesia kibarkan bendera bajak laut ‍️,Positif
ntar pas tgl 17 mending kibarin bendera one piece + play lagu guerrilla keras2,Positif
@txtdrimedia Tinggal ganti pake bendera anime lain https://t.co/dqYVlc5LeX,Netral
Lihat balasan komentar2nya semua menyudutkan Pemerintah Apakah benar semua ini ? Apakah ada penjelasan yg masuk akal dan relevan ? Siapakah yg mencetuskan Bendera Topi Jerami dgn tujuan apa ? Marwah Indonesia tergerus bukan oleh pihak lain tapi ada didalam Indonesia sendiri .,Positif
Hanya mereka yang bermental jongos rendah dan sempit yang menganggap bendera One Piece sebagai ancaman. https://t.co/iyQwqbR5kK,Positif
@AryaNovrianus sama bendera one piece takut sama Allah gak takutt,Negatif
